25 588.235294
50 571.428571
75 555.555417
100 571.428571
100 571.428571
250 588.235294
500 588.235294
750 588.233824
1000 540.540541
1000 588.235294
2500 588.235294
5000 555.555556
7500 588.220588
10000 571.428571
10000 588.235294
25000 588.235294
50000 588.235294
75000 571.285714
100000 571.428571
100000 571.428571
250000 571.428571
500000 571.428571
750000 554.166667
1000000 540.540541
1000000 540.540541
2500000 512.820513
5000000 465.116279
7500000 527.027027
10000000 512.820513
10000000 512.820513
25000000 500.000000
50000000 487.804878
75000000 483.870968
100000000 285.714286
