100000000 645.161290
25 800.000000
50 800.000000
75 740.740556
100 769.230769
100 769.230769
250 800.000000
500 800.000000
750 769.228846
1000 769.230769
1000 800.000000
2500 800.000000
5000 769.230769
7500 769.211538
10000 800.000000
10000 800.000000
25000 800.000000
50000 740.740741
75000 769.038462
100000 740.740741
100000 769.230769
250000 769.230769
500000 769.230769
750000 738.888889
1000000 769.230769
1000000 769.230769
2500000 714.285714
5000000 666.666667
7500000 696.428571
10000000 689.655172
10000000 689.655172
25000000 666.666667
50000000 645.161290
75000000 652.173913
100000000 666.666667
