100000000 304.884555
25 339.172758
50 342.975518
75 334.135733
100 348.122748
100 334.082234
250 350.680320
500 342.657618
750 353.400963
1000 344.321789
1000 341.012945
2500 347.159541
5000 339.545315
7500 338.369526
10000 336.050865
10000 341.807306
25000 349.374881
50000 339.559727
75000 341.994807
100000 348.725495
100000 338.568735
250000 334.892257
500000 322.388772
750000 324.760947
1000000 323.686924
1000000 323.960088
2500000 328.556667
5000000 328.869478
7500000 330.961162
10000000 331.231120
10000000 330.259171
25000000 328.836494
50000000 331.183401
75000000 329.207991
100000000 328.337676
