25 353.026318
50 356.481457
75 350.100129
100 351.881599
100 350.372534
250 318.272671
500 344.625564
750 341.902281
1000 340.534503
1000 345.205527
2500 331.650209
5000 333.455600
7500 335.691063
10000 336.575679
10000 336.018118
25000 336.264438
50000 326.622333
75000 304.353187
100000 276.309118
100000 264.088110
250000 279.214959
500000 284.443635
750000 288.027166
1000000 280.346845
1000000 287.594744
2500000 288.060746
5000000 290.841404
7500000 290.887176
10000000 287.324947
10000000 287.469079
25000000 294.452370
50000000 296.482531
75000000 296.088669
