steps: 78	 cu: -0.00	 dia: 2023-12-08--09:43:16	 malha: 256000000
Tempo (acima) 459	 treads: 8	 ox: 0	 cc: icc_dynamic
steps: 78	 cu: -0.00	 dia: 2023-12-08--09:56:11	 malha: 256000000
Tempo (acima) 380	 treads: 1	 ox: 0	 cc: icc_dynamic
steps: 78	 cu: -0.00	 dia: 2023-12-08--11:54:23	 malha: 256000000
Tempo (acima) 356	 treads: 2	 ox: 0	 cc: icc_dynamic
steps: 78	 cu: -0.00	 dia: 2023-12-08--12:00:17	 malha: 256000000
Tempo (acima) 353	 treads: 4	 ox: 0	 cc: icc_dynamic
steps: 78	 cu: -0.00	 dia: 2023-12-08--14:20:37	 malha: 256000000
Tempo (acima) 460	 treads: 8	 ox: 0	 cc: icc_dynamic
steps: 78	 cu: -0.00	 dia: 2023-12-08--14:30:10	 malha: 256000000
Tempo (acima) 453	 treads: 2	 ox: 0	 cc: icc_dynamic
steps: 78	 cu: -0.00	 dia: 2023-12-08--14:37:45	 malha: 256000000
Tempo (acima) 455	 treads: 4	 ox: 0	 cc: icc_dynamic
steps: 78	 cu: -0.00	 dia: 2023-12-08--14:45:23	 malha: 256000000
Tempo (acima) 457	 treads: 6	 ox: 0	 cc: icc_dynamic
